"sku1","Peanut butter"
"sku2","Jelly"
"sku3","Bread"
"sku4","Milk"
"sku5","Aged prunes"
"sku6","All natural Bread"
"sku7","Almond Nuts"
"sku8","Apple"
"sku9","Banana"
"sku10","Black Chocolate Milk"
"sku11","Blackberry"
"sku12","Blue berries"
"sku13","Blue Juice"
"sku14","Boone Farms Eggs"
"sku15","Breakstone 2% Milk Cottage Cheese"
"sku16","Breakstone Whole Milk Cottage Cheese"
"sku17","Brocolli Slaw"
"sku18","California navels"
"sku19","Charlotte Water"
"sku20","Chateau Potomac Water"
"sku21","cherry"
"sku22","Corn"
"sku23","Cranberry"
"sku24","Dole pineapple"
"sku25","Grapefruit"
"sku26","Green Beans"
"sku27","green seedless grapes"
"sku28","Greens"
"sku29","Imani Low Fat Yoghurt"
"sku30","Josiah 2% Milk"
"sku31","Land O Lakes Butter"
"sku32","Mac apple"
"sku33","Marcelle Low Fat Yoghurt"
"sku34","Mixed Corn"
"sku35","Mr Peanut Can"
"sku36","Nature farm pizza"
"sku37","Nature farm yogurt"
"sku38","Nice Cola"
"sku39","No Frills Butter"
"sku40","Nyla Apple Juice"
"sku41","Organic aged prunes"
"sku42","Organic All natural Bread"
"sku43","Organic Almond Nuts"
"sku44","Organic apples"
"sku45","Organic banana"
"sku46","Organic blue berries"
"sku47","Organic Breakstone Whole Milk Cottage Cheese"
"sku48","Organic Brocolli Slaw"
"sku49","Organic california navels"
"sku50","Organic china apple"
"sku51","Organic Corn"
"sku52","Organic Cranberries"
"sku53","Organic dole pineapple"
"sku54","Organic grapefruit"
"sku55","Organic green apple"
"sku56","Organic green seeded grapes"
"sku57","Organic green seedless grapes"
"sku58","Organic Greens"
"sku59","Organic Imani 2% Milk"
"sku60","Organic Imani Low Fat Yoghurt"
"sku61","Organic Land O Lakes Butter"
"sku62","Organic mac apple"
"sku63","Organic mac pineapple"
"sku64","Organic Mr Peanut Can"
"sku65","Organic Nature farm pizza"
"sku66","Organic Peanuts"
"sku67","Organic pears"
"sku68","Organic red seeded grapes"
"sku69","Organic red seedless grapes"
"sku70","Organic Red Top Turnip"
"sku71","Organic Spinach"
"sku72","Organic Strawberries"
"sku73","Organic Tofu"
"sku74","Organic Tomatoes"
"sku75","Organic Veggie Tray"
"sku76","Organic watermelon"
"sku77","Organic Wonder Bread"
"sku78","PBR"
"sku79","Peanuts"
"sku80","Pears"
"sku81","Pink cool aid"
"sku82","Queen apple"
"sku83","Red seeded grapes"
"sku84","Red seedless grapes"
"sku85","Red top turnip"
"sku86","Sheba Smoothie"
"sku87","Spinach"
"sku88","Strawberries"
"sku89","Tofu"
"sku90","Tomatoes"
"sku91","Triple Washed spinach"
"sku92","Veggie Tray"
"sku93","Watermelon"
"sku94","Wheat Bread"
"sku95","Wonder Bread"
"sku96","Yellow Juice"
"sku97","Soda"
"sku98","Cereal"
"sku99","Frozen Dinners"
"sku100","Salty Snacks"
"sku101","Laundry Detergent"
"sku102","Eggs"
"sku103","Peanut Butter and Bread"
"sku104","Packaged Meats"
"sku105","Abalone"
"sku106","Açaí berries"
"sku107","Açaí juice"
"sku108","Acorn squash"
"sku109","Adzuki bean paste"
"sku110","Adzuki beans"
"sku111","Aged Japanese kurozu"
"sku112","Albacore tuna"
"sku113","Alcohol"
"sku114","Ale"
"sku115","Alfalfa sprouts"
"sku116","Algae"
"sku117","Almond milk"
"sku118","Almond paste"
"sku119","Almonds"
"sku120","Ancho chili powder"
"sku121","Anchovies"
"sku122","Anchovy paste"
"sku123","Angus beef"
"sku124","Apple juice"
"sku125","Apples"
"sku126","Apricots"
"sku127","Apricots, Japanese"
"sku128","Arborio rice"
"sku129","Arctic char"
"sku130","Organic Artichoke"
"sku131","Artichokes"
"sku132","Arugula"
"sku133","Asian greens"
"sku134","Asparagus"
"sku135","Asparagus, Chinese"
"sku136","Autumn crocus"
"sku137","Avocado oil"
"sku138","Avocados"
"sku139","Bacon"
"sku140","Balsamic vinegar"
"sku141","Bananas"
"sku142","Barbecued meat"
"sku143","Basil"
"sku144","Bean curd"
"sku145","Beef"
"sku146","Root Beer"
"sku147","Beets"
"sku148","Bell peppers"
"sku149","Bitter almond oil"
"sku150","Bitter cucumber"
"sku151","Bitter melon"
"sku152","Black beans"
"sku153","Black cumin"
"sku154","Black currants"
"sku155","Black or purple rice"
"sku156","Black pepper"
"sku157","Black tea"
"sku158","Blackberries"
"sku159","Blueberries"
"sku160","Bok choy"
"sku161","Boysenberries"
"sku162","Brazil nuts"
"sku163","Broccoli"
"sku164","Broccoli sprouts"
"sku165","Brown mustard"
"sku166","Brown rice"
"sku167","Brown rice syrup"
"sku168","Brussels sprouts"
"sku169","Buckwheat"
